,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
22577,c,"['seat', '9b', 'media', 'box', 'videos', 'reduced', 'leg', 'room']",0.6211000084877014,"['seat', 'people', 'fully_flat_beds', 'foot', 'compartment', 'angle_lie_flat']",6,"['seat', 'fully_flat_beds', 'people', 'angle_lie_flat', 'compartment', 'foot']",6,"flight, row, business_class, plane, service, window, food, economy, legroom, aircraft"
122,i,"['verified', 'seattle', 'los', 'angeles', 'worst', 'airline', 'check', 'bag', 'storage', 'fact', 'storage', 'plane', 'waiting', 'gate', 'hour', 'airline', 'sucks', 'supposed', 'la', 'one', 'looks', 'home', 'three', 'pm']",0.9284999966621399,"['los_angeles', 'worst_airline', 'check_bag', 'storage', 'fact', 'storage', 'plane', 'hour', 'airline', 'suck', 'home', 'pm']",12,"['worst_airline', 'hour', 'airline', 'home', 'check_bag', 'suck', 'los_angeles', 'fact', 'plane', 'storage', 'pm']",11,"flight, airline, airport, business_class, plane, experience, cabin, way, bag, day"
26564,,"['lots', 'leg', 'room', 'two', 'windows']",,"['aircraft', 'domestic_routes', 'people', 'seat', 'relatively_comfortable', 'power_outlets', 'personal_device_entertainment', 'work']",8,"['seat', 'power_outlets', 'relatively_comfortable', 'personal_device_entertainment', 'people', 'aircraft', 'work', 'domestic_routes']",8,
29819,,"['plane', 'felt', 'old', 'run', 'seat', 'ok', '737', 'satelitte', 'tv', 'kind', 'working', 'fortunately', 'one', 'left', 'flight', 'didnt', 'feel', 'long', 'long', 'flights', 'ok']",,,0,[],0,
22903,i,"['seat', 'terrible', 'crew', 'seat', 'appears', 'window', 'electrical', 'box', 'seat', 'limits', 'legroom', 'seat', 'limited', 'recline', 'seat', 'goes', 'way', 'worst', 'kind', 'middle', 'seat', 'entire', 'aircraft']",0.41110000014305115,"['two_windows', 'overhead_tv']",2,"['overhead_tv', 'two_windows']",2,"flight, airline, airport, business_class, plane, experience, cabin, way, bag, day"
18817,m,"['agree', 'comment', '34a', 'advantage', 'having', 'use', 'space', 'seat', 'bulkhead', 'inflight', 'storage', 'laptop', 'bag', 'takeoff', 'landing', 'observations', 'folks', 'row', 'middle', '30defg', 'disturbed', 'people', 'heading', 'restroom', 'unavoidable', '32hk', 'terrible', 'bassinet', 'location', 'bulkhead', 'wall', 'right', 'face', 'restricted', 'legroom', '31ac', 'probably', 'best', 'seats', 'floor', 'storage', 'seats', 'comfortable', 'recline', 'ife', 'screen', 'right', 'face', 'person', 'fully', 'reclines', 'problem', 'need', 'think', 'evas', 'pe', 'little', 'bad', 'worth', '2x', 'cost', 'vs', 'regular', 'economy']",0.5447999835014343,"['seat', 'problem', 'bulkhead', 'ceiling', 'door', 'overhead_bins', 'plane', 'makes_impossible', 'load', 'carryon', 'exit', 'deplaning']",12,"['seat', 'carryon', 'exit', 'deplaning', 'overhead_bins', 'load', 'bulkhead', 'makes_impossible', 'door', 'problem', 'ceiling', 'plane']",12,"flight, plane, passenger, economy, service, airline, business_class, staff, people, way"
18925,l,"['seat', 'want', 'window', 'dont', 'want', 'blockaded', 'two', 'passengers', 'gap', 'window', 'larger', '3across', 'seat', 'far', 'leaning', 'bulkhead', 'sleeping', 'gap', 'large', 'handcarryon', 'bag', 'stowed', 'patagonia', 'lightwire', 'brief', 'easily', 'wide', 'bihn', 'pilot']",0.5320000052452087,"['36b', 'seat', 'coach', 'leg_room', 'seat', 'class', '36a', 'space', 'exit_door', 'dont_need', 'deplane', 'rows_ahead', '36b']",13,"['seat', 'dont_need', '36a', 'exit_door', 'class', 'rows_ahead', 'deplane', 'leg_room', 'space', 'coach', '36b']",11,"flight, service, food, passenger, plane, crew, window, business_class, class, meal"
247,a,"['verified', 'austin', 'charleston', 'charlotte', 'worst', 'airline', 'seen', 'travel', 'time', '40', 'mins', 'took', 'one', 'hour', 'gate', 'going', 'runway', 'mentioned', 'two', 'checkups', 'hour', 'said', 'one', 'engine', 'working', 'overall', 'worst', 'experience', 'fly', 'american', 'airlines']",0.446399986743927,"['worst_airline', 'travel', 'time', '40_mins', 'one_hour', 'gate', 'runway', 'checkup', 'hour', 'engine', 'worst_experience', 'fly_american_airlines']",12,"['checkup', 'worst_airline', 'hour', 'gate', 'travel', 'worst_experience', 'runway', 'engine', 'fly_american_airlines', 'one_hour', 'time', '40_mins']",12,"flight, airline, service, crew, passenger, american_airlines, food, airport, staff, aircraft"
18427,k,"['strangest', 'business', 'class', 'seat', 'experienced', 'leg', 'room', 'economy', 'legs', 'butting', 'seat']",0.4426000118255615,"['stretch', 'tv', 'row', 'seat']",4,"['seat', 'stretch', 'row', 'tv']",4,"flight, plane, window, people, class, ticket, staff, experience, way, passenger"
24564,,"['seat', '22d', 'restricted', 'legroom', 'bulkhead', 'row', '22d', 'legroom', '16ac', '16hk']",,"['frequent_flyer', 'plane', 'tin', 'panel', 'seat', 'trip', 'disaster', 'risk', '11_hour', 'saa', 'panel', 'comfort']",12,"['panel', 'seat', 'risk', '11_hour', 'frequent_flyer', 'tin', 'trip', 'saa', 'disaster', 'comfort', 'plane']",11,
